timestamp_ns,work,latency_us,cpu_idle_percent
2286859312837,ETH,-53140745.367,0.00
2286859464986,SOL,-53140596.977,0.00
2286859566561,ADA,-53140488.828,0.00
2286859646691,BTC,-53140407.235,0.00
2286859471468,DOGE,-53140588.366,0.00
2346859133801,ADA,-53140965.903,99.77
2346859241580,LTC,-53140830.939,0.00
2346859265154,SOL,-53140791.198,0.00
2346859148376,XRP,-53140920.440,0.00
2346859299062,ETH,-53140760.272,0.00
2346859368840,BTC,-53140689.290,0.00
2346859479841,DOGE,-53140576.882,0.00
2346859560249,BNB,-53140519.863,0.00
2406858206483,BNB,-53141880.018,99.75
2406858226353,DOGE,-53141838.962,0.00
2406858212946,XRP,-53141864.962,0.00
2406858597060,SOL,-53141466.607,0.00
2406858659060,ADA,-53141888.888,0.00
2406858862395,ETH,-53141201.198,0.00
2406860172942,LTC,-53139890.614,50.00
2406860246350,BTC,-53139819.187,0.00
2466859384557,ETH,-53140685.036,99.80
2466859474576,ADA,-53140589.795,0.00
2466859485372,SOL,-53140572.017,0.00
2466859493206,DOGE,-53140563.832,0.00
2466859385446,LTC,-53140720.037,0.00
2466859384686,XRP,-53140697.611,0.00
2466859613466,BTC,-53140443.035,0.00
2466859802615,BNB,-53140258.255,0.00
2526858200295,BNB,-53141895.687,99.37
2526859479730,LTC,-53140589.789,0.00
2526859577916,ADA,-53140479.066,0.00
2526859674991,ETH,-53140380.306,0.00
2526859805473,SOL,-53140257.305,100.00
2526859481990,DOGE,-53140596.974,0.00
2526859807270,BTC,-53140250.360,0.00
2526859481101,XRP,-53140609.011,0.00
2586858257371,BNB,-53141838.982,99.59
2586858358501,BTC,-53141719.888,0.00
2586858407075,ETH,-53141663.055,0.00
2586858536058,XRP,-53141521.183,0.00
2586858358945,SOL,-53141711.537,0.00
2586859929864,LTC,-53140134.025,0.00
2586860023439,ADA,-53140055.858,0.00
2586860041902,DOGE,-53140040.284,0.00
2646859916812,LTC,-53140182.615,99.69
2646859968794,XRP,-53140103.392,0.00
2646860013072,BNB,-53140056.243,0.00
2646860059461,ADA,-53140010.984,0.00
2646860141517,DOGE,-53139925.002,0.00
2646860162406,ETH,-53139893.761,0.00
2646860277111,BTC,-53139778.315,0.00
2646860338667,SOL,-53139719.537,0.00
2706858218595,LTC,-53141875.127,99.72
2706858219058,DOGE,-53141866.757,0.00
2706858288318,SOL,-53141775.997,0.00
2706858338300,BTC,-53141730.645,0.00
2706858419930,BNB,-53141636.626,0.00
2706860062294,XRP,-53140040.652,0.00
2706860070183,ADA,-53140009.040,0.00
2706860076553,ETH,-53139999.966,0.00
2766858396732,BNB,-53141703.287,99.69
2766860077040,ADA,-53140013.276,100.00
2766860077540,XRP,-53140013.405,0.00
2766860122448,ETH,-53139934.905,0.00
2766860150355,BTC,-53140056.035,0.00
2766860171115,DOGE,-53140058.387,0.00
2766860185707,SOL,-53139881.645,0.00
2766860221393,LTC,-53139839.811,0.00
2826858336760,SOL,-53141758.963,99.69
2826858399038,DOGE,-53141670.166,0.00
2826858621317,ADA,-53141443.183,0.00
2826858815022,XRP,-53141256.627,0.00
2826858817967,ETH,-53141253.701,0.00
2826858981208,BTC,-53141082.292,0.00
2826860657535,BNB,-53139408.577,0.00
2826860697702,LTC,-53139363.910,0.00
2886858230524,SOL,-53141854.292,99.66
2886858327432,BNB,-53141729.921,0.00
2886858524137,BTC,-53141550.438,0.00
2886858230913,XRP,-53141861.625,0.00
2886858230542,ADA,-53141861.718,99.66
2886860485020,LTC,-53139579.110,100.00
2886860509113,DOGE,-53139555.202,0.00
2886860539984,ETH,-53139522.572,0.00
2946860097437,ADA,-53140016.119,99.71
2946860144030,XRP,-53139925.804,0.00
2946860172771,LTC,-53140012.823,0.00
2946860246827,BTC,-53139811.025,0.00
2946860253772,DOGE,-53139941.137,0.00
2946860265327,SOL,-53139821.432,0.00
2946860351754,ETH,-53139714.265,0.00
2946860361365,BNB,-53139694.969,0.00
3006858201295,DOGE,-53141887.094,99.73
3006858202203,BNB,-53141892.872,0.00
3006858548335,XRP,-53141614.741,0.00
3006858783095,BTC,-53141737.112,0.00
3006860817757,ADA,-53139255.577,0.00
3006860835906,ETH,-53139226.706,0.00
3006860839924,SOL,-53139225.484,0.00
3006861010499,LTC,-53139053.390,100.00
3066858231407,ADA,-53141863.186,99.75
3066858247296,SOL,-53141821.889,0.00
3066858279648,ETH,-53141784.963,0.00
3066858365705,BNB,-53141697.833,0.00
3066858231852,DOGE,-53141853.649,0.00
3066860659961,LTC,-53139408.281,50.00
3066860673905,BTC,-53139391.447,0.00
3066860759832,XRP,-53139297.187,0.00
3126858241475,DOGE,-53141858.155,98.66
3126858331179,LTC,-53141725.673,0.00
3126858244327,XRP,-53141828.507,0.00
3126858981221,BNB,-53141083.317,0.00
3126860413582,ADA,-53139649.789,0.00
3126860429249,BTC,-53139637.807,0.00
3126860487379,SOL,-53139575.566,0.00
3126860530101,ETH,-53139526.269,0.00
3186858213975,DOGE,-53141865.451,99.58
3186858308124,SOL,-53141757.043,0.00
3186858866924,BNB,-53141902.803,0.00
3186861200328,XRP,-53138866.172,50.00
3186861237403,BTC,-53138833.357,0.00
3186861333403,ETH,-53138724.856,0.00
3186861438978,LTC,-53138635.485,0.00
3186861288329,ADA,-53138768.023,0.00
3246858437783,LTC,-53141654.643,99.74
3246860457556,XRP,-53139622.148,100.00
3246860479871,BTC,-53139589.630,0.00
3246860488926,ETH,-53139574.592,0.00
3246860584335,ADA,-53139481.073,0.00
3246860608761,SOL,-53139448.055,0.00
3246860758169,BNB,-53139305.294,0.00
3246860760576,DOGE,-53139298.720,0.00
3306860574589,BTC,-53139511.523,99.75
3306860578366,BNB,-53139491.004,0.00
3306860659386,DOGE,-53139398.078,0.00
3306860575311,SOL,-53139519.134,0.00
3306860664145,XRP,-53139392.078,0.00
3306860794146,ETH,-53139261.355,0.00
3306860912869,ADA,-53139147.484,0.00
3306860996036,LTC,-53139058.594,0.00
3366860638669,BNB,-53139468.535,99.75
3366860652539,LTC,-53139416.720,0.00
3366860668354,XRP,-53139398.590,0.00
3366860778448,SOL,-53139281.201,0.00
3366860798115,ETH,-53139261.016,0.00
3366860903430,BTC,-53139152.941,0.00
3366860925949,ADA,-53139135.163,0.00
3366861192543,DOGE,-53138938.643,0.00
3426860827320,ADA,-53139254.921,0.00
3426860897654,XRP,-53139160.920,0.00
3426860913913,BNB,-53139144.235,0.00
3426860952340,DOGE,-53139116.476,0.00
3426860999155,ETH,-53139055.216,0.00
3426860827042,SOL,-53139260.088,99.72
3426861024803,BTC,-53139032.308,0.00
3426860841654,LTC,-53139343.199,0.00
3486858165676,LTC,-53141929.547,99.78
3486860971194,BNB,-53139117.825,100.00
3486861062713,BTC,-53138995.639,0.00
3486861111750,DOGE,-53138947.602,0.00
3486861166751,ETH,-53138894.398,0.00
3486861260455,XRP,-53138795.286,0.00
3486860972268,SOL,-53139105.455,0.00
3486861357752,ADA,-53138997.213,0.00
3546858196425,LTC,-53141891.391,99.77
3546858196814,ADA,-53141899.261,0.00
3546859217450,BTC,-53140849.014,0.00
3546861294408,SOL,-53138770.222,0.00
3546861433335,DOGE,-53138639.129,0.00
3546861589910,BNB,-53138475.980,0.00
3546861613613,XRP,-53138696.203,0.00
3546861623799,ETH,-53138437.405,0.00
3606860989522,XRP,-53139111.109,98.97
3606861023707,ADA,-53139047.331,0.00
3606861036040,LTC,-53139034.053,0.00
3606861125189,DOGE,-53138932.922,100.00
3606861241023,BNB,-53138815.940,0.00
3606861338709,SOL,-53138725.829,0.00
3606861415006,BTC,-53138649.143,0.00
3606861483654,ETH,-53138580.105,0.00
3666861053723,BNB,-53139049.148,99.79
3666861053945,LTC,-53139023.074,0.00
3666861137760,ADA,-53138928.666,0.00
3666861172187,ETH,-53138885.258,0.00
3666861195557,XRP,-53138863.777,0.00
3666861340595,DOGE,-53138715.257,0.00
3666861421947,BTC,-53138641.923,0.00
3666861422596,SOL,-53138632.738,0.00
3726861155179,LTC,-53138941.970,99.30
3726861253753,BNB,-53138804.802,0.00
3726861269309,ETH,-53138788.562,0.00
3726861155494,ADA,-53138915.748,0.00
3726861393662,DOGE,-53138662.172,0.00
3726861156160,XRP,-53138929.988,0.00
3726861512070,SOL,-53138542.838,0.00
3726861551811,BTC,-53138510.819,0.00
3786861265936,ADA,-53138811.249,99.74
3786861266047,ETH,-53138833.379,0.00
3786861315085,BNB,-53138751.879,0.00
3786861334214,LTC,-53138735.879,0.00
3786861380104,BTC,-53138678.008,0.00
3786861393215,XRP,-53138665.711,0.00
3786861548345,DOGE,-53138508.636,0.00
3786861625253,SOL,-53138428.821,0.00
3846858162884,ADA,-53141912.043,99.74
3846858163291,BNB,-53141932.376,0.00
3846858282736,ETH,-53141781.412,0.00
3846858345533,DOGE,-53141713.449,0.00
3846858163050,LTC,-53141920.006,0.00
3846861690517,SOL,-53138372.891,100.00
3846861724036,BTC,-53138341.150,0.00
3846861864296,XRP,-53138210.667,0.00
3906861530039,BNB,-53138654.518,99.52
3906861606002,ADA,-53138469.591,0.00
3906861611947,LTC,-53138453.035,0.00
3906861796837,ETH,-53138266.534,0.00
3906861991616,SOL,-53138069.755,0.00
3906862022708,DOGE,-53138044.292,0.00
3906862100135,BTC,-53138024.088,0.00
3906862006856,XRP,-53138055.533,0.00
3966861576324,DOGE,-53138540.103,99.65
3966861586787,XRP,-53138483.140,0.00
3966861695565,BTC,-53138361.639,0.00
3966861702288,ETH,-53138354.935,0.00
3966861820881,LTC,-53138235.971,0.00
3966861838400,SOL,-53138219.119,0.00
3966861924530,BNB,-53138130.897,0.00
3966861598842,ADA,-53138468.695,0.00
4026858208496,XRP,-53141880.098,99.65
4026858338385,SOL,-53141729.541,0.00
4026858384719,BTC,-53141684.707,0.00
4026858460775,LTC,-53141599.429,0.00
4026858599887,ADA,-53141456.465,0.00
4026858652554,DOGE,-53141410.761,0.00
4026862376930,BNB,-53137682.256,100.00
4026862488764,ETH,-53137565.126,0.00
4086862544912,XRP,-53137617.978,99.58
4086862593690,DOGE,-53137530.366,0.00
4086862669209,BNB,-53137385.624,0.00
4086862681876,SOL,-53137375.124,0.00
4086862602190,ADA,-53137577.718,0.00
4086862593468,LTC,-53137466.995,0.00
4086862752895,ETH,-53137300.494,0.00
4086862929563,BTC,-53137141.586,100.00
4146862034973,XRP,-53138061.862,99.72
4146862118197,BNB,-53137938.748,0.00
4146862536614,SOL,-53137529.351,0.00
4146862040733,BTC,-53138033.417,0.00
4146862737859,ADA,-53137317.532,0.00
4146862772748,LTC,-53137363.551,0.00
4146862813045,ETH,-53137241.160,0.00
4146862649820,DOGE,-53137409.867,0.00
4206862016076,ADA,-53138078.296,99.71
4206862245747,XRP,-53137820.569,0.00
