timestamp,symbol,moving_avg,volume_sum
2025-09-07 01:03:00,ADA,0.819688,101261
2025-09-07 01:04:00,XRP,2.80689,77340.8
2025-09-07 01:04:00,ADA,0.819595,107085
2025-09-07 01:04:00,SOL,200.89,4564.27
2025-09-07 01:04:00,LTC,111.877,274.041
2025-09-07 01:04:00,BTC,110216,8.5204
2025-09-07 01:04:00,BNB,858.881,24.9042
2025-09-07 01:04:00,DOGE,0.215213,4.77431e+06
2025-09-07 01:04:00,ETH,4282.16,779.694
2025-09-07 01:05:00,SOL,200.891,4625.94
2025-09-07 01:05:00,ADA,0.819535,115188
2025-09-07 01:05:00,BNB,858.839,25.4394
2025-09-07 01:05:00,BTC,110216,8.83542
2025-09-07 01:05:00,DOGE,0.215228,5.52896e+06
2025-09-07 01:05:00,XRP,2.80693,79878.7
2025-09-07 01:05:00,ETH,4282.35,803.069
2025-09-07 01:05:00,LTC,111.876,274.464
2025-09-07 01:06:00,LTC,111.877,273.82
2025-09-07 01:06:00,ADA,0.819501,110406
2025-09-07 01:06:00,XRP,2.80694,82289.2
2025-09-07 01:06:00,BTC,110216,8.65866
2025-09-07 01:06:00,BNB,858.799,25.5786
2025-09-07 01:06:00,DOGE,0.215234,5.87104e+06
2025-09-07 01:06:00,ETH,4282.48,795.519
2025-09-07 01:06:00,SOL,200.885,4588.4
2025-09-07 01:07:00,BNB,858.694,27.224
2025-09-07 01:07:00,LTC,111.876,285.16
2025-09-07 01:07:00,SOL,200.873,4617.76
2025-09-07 01:07:00,XRP,2.80695,85803.2
2025-09-07 01:07:00,BTC,110214,7.33281
2025-09-07 01:07:00,ADA,0.819447,115160
2025-09-07 01:07:00,ETH,4282.5,825.334
2025-09-07 01:07:00,DOGE,0.215229,5.94925e+06
2025-09-07 01:08:00,SOL,200.865,4619.92
2025-09-07 01:08:00,BNB,858.642,27.199
2025-09-07 01:08:00,DOGE,0.215232,6.04207e+06
2025-09-07 01:08:00,LTC,111.877,287.639
2025-09-07 01:08:00,BTC,110214,7.35678
2025-09-07 01:08:00,ETH,4282.52,834.584
2025-09-07 01:08:00,XRP,2.80682,95033.6
2025-09-07 01:08:00,ADA,0.819415,124847
2025-09-07 01:09:00,ADA,0.819378,126427
2025-09-07 01:09:00,BNB,858.598,31.9672
2025-09-07 01:09:00,ETH,4282.58,822.159
2025-09-07 01:09:00,DOGE,0.215235,6.61102e+06
2025-09-07 01:09:00,XRP,2.8068,100567
2025-09-07 01:09:00,LTC,111.879,276.528
2025-09-07 01:09:00,BTC,110213,7.7472
2025-09-07 01:09:00,SOL,200.844,4321.9
2025-09-07 01:10:00,ADA,0.81935,98146.8
2025-09-07 01:10:00,XRP,2.80668,109639
